-1.999984860399999897e+00,-2.008687545199999895e-07
-1.833323597899999990e+00,-1.608715933799999893e-07
-1.666638970399999975e+00,-1.381950198699999979e-07
-1.499984502800000064e+00,-1.177011554900000063e-07
-1.333353042599999982e+00,-9.315703408699999402e-08
-1.166620135300000083e+00,-7.799722112600000344e-08
-1.000006318100000069e+00,-5.342814191099999762e-08
-8.333463072800000315e-01,-3.628085565300000234e-08
-6.666482687000000462e-01,-2.545020372199999998e-08
-4.999916255499999851e-01,-1.729283383199999951e-08
-3.333382904500000188e-01,-1.003640193200000021e-08
-1.666586548100000009e-01,-4.247250995299999980e-09
1.048145804800000064e-06,4.426073223200000244e-12
1.666653454300000003e-01,3.831714501199999996e-09
3.264530301099999865e-01,7.688418790499999656e-09
4.999956488599999749e-01,1.404318172899999980e-08
6.666449904400000293e-01,1.974475694100000054e-08
8.333427310000000032e-01,2.546052435500000098e-08
9.999992847399999940e-01,3.395165393299999904e-08
1.166664600400000085e+00,4.107378970300000064e-08
1.333311200100000038e+00,4.549693599599999922e-08
1.499955415699999905e+00,5.900708899299999944e-08
1.666640996900000005e+00,6.505262461999999937e-08
1.833327651000000058e+00,8.022627895299999410e-08
2.000027418100000176e+00,9.126883782099999763e-08
